Website,IPv4 Response Time,IPv6 Response Time,IPv4 Hops,IPv6 Hops,Diff Time,Diff Hops
gfycat.com,0.0189,0.0589,19,22,-0.0399,-3
cpf.gov.sg,0.0222,0.0555,22,15,-0.0332,7
wikia.com,0.0206,0.0466,15,18,-0.0260,-3
smh.com.au,0.0196,0.0432,19,21,-0.0236,-2
theage.com.au,0.0195,0.0372,19,22,-0.0177,-3
yahoo.com,0.0378,0.0512,21,21,-0.0134,0
ebay-kleinanzeigen.de,0.0223,0.0355,19,20,-0.0132,-1
instagram.com,0.0208,0.0336,19,17,-0.0128,2
kinopoisk.ru,0.1397,0.1509,21,19,-0.0112,2
bbc.co.uk,0.1006,0.1049,17,19,-0.0043,-2
netflix.com,0.0392,0.0406,18,17,-0.0014,1
pandora.com,0.0004,0.0012,22,17,-0.0008,5
sabq.org,0.0005,0.0013,15,15,-0.0008,0
google.com,0.0002,0.0005,23,22,-0.0003,1
gmail.com,0.0096,0.0095,21,24,0.0001,-3
youtube.com,0.0712,0.0711,21,24,0.0001,-3
diply.com,0.0012,0.0010,15,15,0.0002,0
wikipedia.org,0.0252,0.0248,15,16,0.0004,-1
folha.uol.com.br,0.1580,0.1576,22,22,0.0004,0
yandex.ru,0.0043,0.0038,22,19,0.0005,3
blogspot.com,0.0448,0.0443,23,22,0.0005,1
mobile.de,0.1076,0.1061,18,21,0.0015,-3
telekom.com,0.1194,0.1178,23,21,0.0016,2
focus.de,0.0238,0.0220,15,15,0.0018,0
office.com,0.0161,0.0112,23,29,0.0049,-6
facebook.com,0.0468,0.0395,17,17,0.0073,0
blogger.com,0.0445,0.0362,21,22,0.0083,-1
chip.de,0.0323,0.0227,15,15,0.0096,0
telstra.com.au,0.3162,0.2627,29,22,0.0536,7
Averages:,0.0512,0.0549,19.6207,19.6207,-0.0037,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
